reference,translation,google/gemini-2.5-flash-lite,DeepSeek-V3.2-Exp,DeepSeek-V3.1-Terminus,DeepSeek-V3.1-Terminus (temp=1.3),DeepSeek-V3.2-Exp (temp=1.3),google/gemini-2.0-flash-001,google/gemma-3-12b-it,google/gemma-3-27b-it,anthropic/claude-sonnet-4,z-ai/glm-4.5,google/gemini-2.5-pro
"Шел, автотранспорт ҫӳренин хастарлӑхне тишкерме йывӑр, мӗншӗн тесен водитель хӑйне мӗнле тытассине 100 проценчӗпе пӗлсе хума май ҫук.","К сожалению, сложно изучать интенсивность движения автотранспорта, потому что нельзя со стопроцентной вероятностью предсказать поведение водителя.","Итак, анализировать интенсивность движения автотранспорта сложно, поскольку невозможно на 100% знать, как будет вести себя водитель.","Трудно контролировать активность автомобильного транспорта, потому что невозможно со 100 % уверенностью знать, как ведёт себя водитель.","Ведь проверить интенсивность движения автотранспорта сложно, потому что невозможно со 100-процентной точностью знать, как водитель контролирует себя.","Считается, что проверить активность вождения автотранспорта сложно, потому что у водителя нет возможности полностью на 100 процентов осознавать, как он себя ведёт.","Трудно контролировать активность движения автотранспорта, потому что водитель не может на 100 % знать, как он себя ведёт.","К сожалению, сложно анализировать интенсивность движения автотранспорта, поскольку невозможно со стопроцентной уверенностью предсказать, как поведет себя водитель.","Проверять пригодность автомобиля к эксплуатации сложно, поскольку невозможно на 100 процентов знать, в каком состоянии водитель себя будет чувствовать.","Действительно, сложно оценить надёжность работы автотранспорта, поскольку невозможно со стопроцентной уверенностью знать, как ведёт себя водитель.","Поэтому безопасность управления автотранспортом трудно проверить, потому что невозможно со стопроцентной уверенностью знать, как поведет себя водитель.","К сожалению, сложно проверить интенсивность движения автотранспорта, потому что невозможно на 100 процентов предугадать, как поведет себя водитель.","К сожалению, анализировать интенсивность автомобильного движения сложно, потому что невозможно на 100 процентов предугадать, как поведёт себя водитель."
"Телее, водительсем час-часах хӑйсене йӗркепе килӗшӳллӗн тытаҫҫӗ, ҫаванпа транспорт юхӑмӗн тӗпрен илсен хӑйӗн йӗрки пур, ӑна математика тӗлӗшӗнчен сӑнласа пама пулать.","К счастью, поведение водителей часто достаточно систематично; таким образом, транспортные потоки в целом имеют некоторую систематичность и могут быть приближенно описаны математически.","Действительно, водители ведут себя очень упорядоченно и согласованно, как по часам, поэтому транспортный поток в целом имеет свой собственный порядок, который можно описать математически.","Обычно водители часто ведут себя в соответствии с правилами, поэтому транспортный поток в основном имеет свой собственный порядок, который можно описать с математической точки зрения.","Таким образом, водители постоянно поддерживают себя в соответствии с установленным порядком, благодаря чему транспортный поток в своей основе имеет собственный порядок, который можно математически смоделировать.","Таким образом, водители постоянно поддерживают себя в соответствии с установленными правилами, благодаря чему транспортный поток, в принципе, имеет свой собственный порядок, который можно описать с математической точки зрения.","Обычно водители периодически поддерживают себя в соответствии с установленным порядком, поэтому транспортный поток в основном имеет свой собственный порядок, который можно описать с математической точки зрения.","В целом, водители часто ведут себя в соответствии с правилами, поэтому в транспортном потоке существует определенный порядок, который можно описать математически.","Водители, в течение всего времени, стараются соблюдать правила дорожного движения, и если транспортный поток правильно организован, то у каждого водителя есть своя зона ответственности, которую можно представить математически.","Тем не менее, водители чаще всего ведут себя в соответствии с правилами, поэтому, если рассматривать поток транспорта в целом, можно заметить в нём определённую закономерность, которую можно смоделировать математически.","Кроме того, водители время от времени поддерживают себя в соответствии со своими силами, поэтому при выборе основного транспортного маршрута у каждого есть своя сила, которую можно рассчитать с помощью математического анализа.","Обычно, водители довольно часто ведут себя упорядоченно, поэтому транспортный поток в основном имеет свою собственную структуру, которую можно описать с математической точки зрения.","К счастью, водители довольно часто ведут себя упорядоченно, поэтому у транспортного потока в основном есть свой порядок, который можно описать математически."
"Транспорт юхӑмне лайӑхрах ӑнланса илмешкӗн виҫӗ тӗп капаш хушшинчи шайлашӑва ҫирӗплетнӗ: (1) юхӑм, (2) йышлӑх, (3) хӑвӑртлӑх.","Чтобы лучше представить транспортный поток, были установлены отношения между тремя основными величинами:  (1) поток, (2) плотность и (3) скорость.","Для лучшего понимания транспортного потока установлены соотношения между тремя основными факторами: (1) поток, (2) плотность (или объём), (3) скорость.","Для лучшего понимания транспортного потока установлена трёхуровневая классификация: (1) поток, (2) плотность, (3) скорость.","Для лучшего понимания транспортного потока установлено соотношение между тремя основными параметрами: (1) поток, (2) плотность, (3) скорость.","Для лучшего понимания транспортного потока установлено соответствие между тремя основными уровнями: (1) поток, (2) плотность, (3) скорость.","Для лучшего понимания транспортного потока установлена трёхуровневая иерархия: (1) поток, (2) плотность, (3) скорость.","Для лучшего понимания транспортного потока установлена взаимосвязь между тремя основными параметрами: (1) поток, (2) плотность, (3) скорость.","""Для лучшего понимания потребности в транспорте была усилена оценка между тремя основными этапами: (1) потребность, (2) вместимость, (3) скорость.""","Для лучшего понимания транспортного потока установлена взаимосвязь между тремя основными факторами: (1) поток, (2) плотность, (3) скорость.","Для лучшего понимания транспортного движения было упорядочено различие между тремя основными вопросами: (1) движение, (2) скорость, (3) безопасность.","Для лучшего понимания транспортного потока установили соотношение между тремя основными параметрами: (1) поток, (2) плотность, (3) скорость.","Для лучшего понимания транспортного потока установлено соотношение между тремя основными величинами: (1) поток, (2) плотность, (3) скорость."
"Вӗсене шайлаштарса пӑхни чукун ҫул объекчӗсен планировкине, дизайнне тунӑ чухне тата вӗсемпе усӑ курнӑ вӑхӑтра пулӑшать.","Эти отношения помогают в планировке, дизайне и эксплуатации железнодорожных объектов.","Их сопоставление помогает при разработке планировки и дизайна объектов железной дороги, а также во время их эксплуатации.","Их классификация помогает при планировании и проектировании объектов железной дороги, а также во время их эксплуатации.","Их классификация помогает при планировании и проектировании железнодорожных объектов, а также во время их эксплуатации.","Их классификация происходит при планировании и проектировании объектов железной дороги, а также во время их эксплуатации.","Их классифицированный осмотр помогает при планировке и дизайне объектов железной дороги, а также во время их использования.","Приведение их в соответствие помогает при планировке, проектировании и эксплуатации объектов железнодорожного транспорта.","Оценка пригодности дорожных объектов планируется и осуществляется при проектировании их планировки и дизайна, а также при эксплуатации.","Рассмотрение и сортировка цветов помогает при планировании и проектировании объектов железной дороги, а также при их эксплуатации.","Их отбор и рассмотрение помогает при создании планировки и дизайна объектов такого года, а также во время работы с ними.","Сравнительный анализ данных объектов помогает при планировке и проектировании железнодорожных сооружений, а также при их эксплуатации.","Их сопоставление помогает при разработке планировки и дизайна железнодорожных объектов, а также при их эксплуатации."
"Хурт-кӑпшанкӑ сывлӑша хӑпарнӑ пӗрремӗш чӗр чун пулнӑ. Вӗҫме пӗлни вӗсене тӑшманран ҫӑмӑллӑн тарма, апат тата мӑшӑр тупма пулӑшнӑ.","Насекомые были первыми животными, поднявшимися в воздух. Их способность летать помогала им легче ускользать от врагов, находить еду и партнеров.","Насекомые были первыми живыми существами, поднявшимися в воздух. Умение летать помогало им легко убегать от врагов, находить пищу и партнера.","Насекомые были первыми живыми существами, поднявшимися в воздух. Умение летать помогло им легко ускользать от врагов, находить пищу и партнёров.","Насекомые были первыми живыми существами, поднявшимися в воздух. Умение летать помогло им легко убегать от врагов, а также находить пищу и партнёров.","Насекомые были первыми живыми существами, поднявшимися в воздух. Умение летать помогло им легко убегать от врагов, а также находить пищу и партнёров.","Насекомые были первыми живыми существами, поднявшимися в воздух. Умение летать помогло им легко убегать от врагов, находить пищу и партнёра.","Насекомые были первыми живыми существами, поднявшимися в воздух. Умение летать помогало им легко убегать от врагов, находить пищу и партнера.","Первая весна подарила расцвет деревьев. Это помогло им защищаться от врагов, находить пищу и строить жилища.","Первым холодным днем для кабана было известие о лесе. Умение плавать помогало им быстро спасаться от опасности, находить еду и укрытие.","Насекомые принесли здоровье и стали первыми живыми существами. Умение работать помогло им тайно уносить от врагов, находить пищу и припасы.","Насекомые были первыми живыми существами, которые поднялись в воздух. Умение летать помогало им легко спасаться от врагов, а также находить пищу и пару.","Насекомые были первыми живыми существами, поднявшимися в воздух. Умение летать помогало им легко убегать от врагов, находить пищу и пару."
"Хурт-кӑпшанкӑран чылайӑшӗ ҫунаттисене кӗлетке тӑршшӗпе хуҫлатса хума пултарать, ку вӗсемшӗн лайӑх.","Большинство насекомых обладают способностью складывать крылья вдоль тела, что дает им преимущество.","Большинство щелкунов могут складывать крылья вдоль тела, и это хорошо для них.","Большинство насекомых могут покрывать себя крыльями по длине тела, что для них хорошо.","Большинство насекомых могут складывать крылья относительно длины тела, что для них полезно.","Большинство комаров могут летать с крыльями, соразмерными длине тела, что для них является благоприятным.","Большинство насекомых могут покрывать крылья длиной своего тела, что для них хорошо.","Многие насекомые могут складывать свои крылья вдоль тела, и это хорошо для них.","Большинство взрослых людей не могут справиться с трудностями, что хорошо для них.","Многие пчёлы могут запечатывать свои крылья воском, что полезно для них.","Из-за суеты многие из них могут держать птенцов в клетке в стоячем положении, что для них хорошо.","Многие насекомые могут увеличивать свои крылья по длине тела, что для них хорошо.","Большинство насекомых способны складывать крылья вдоль тела, что для них хорошо."
"Большинство насекомых обладают способностью складывать крылья вдоль тела, что дает им преимущество.","Это предоставляет им большее количество укромных мест, в которых можно спрятаться от хищников.","Предоставленный текст написан на русском языке, а не на чувашском. Следовательно, я не могу выполнить запрос на перевод с чувашского на русский. Текст гласит: ""Большинство насекомых обладают способностью складывать крылья вдоль тела, что дает им преимущество"". Если вы предоставите текст на чувашском языке, я с радостью переведу его для вас на русский.","Большинство насекомых обладают способностью складывать крылья вдоль тела, что даёт им преимущество.","Большинство насекомых обладают способностью складывать крылья вдоль тела, что дает им преимущество.","Большинство насекомых обладают способностью складывать крылья вдоль тела, что дает им преимущество.","Большинство насекомых обладают способностью складывать крылья вдоль тела, что дает им преимущество.","Большинство насекомых обладают способностью складывать крылья вдоль тела, что дает им преимущество.","Большинство насекомых обладают способностью складывать крылья вдоль тела, что даёт им преимущество.","У большинства насекомых есть способность складывать крылья вдоль тела, что даёт им преимущество.","Большинство насекомых обладают способностью складывать крылья вдоль тела, что дает им преимущество.","Большинство насекомых обладают способностью складывать крылья вдоль тела, что дает им преимущество.","Предоставленный вами текст «Большинство насекомых обладают способностью складывать крылья вдоль тела, что дает им преимущество» уже написан на русском языке, в связи с чем его перевод с чувашского на русский невозможен. Пожалуйста, предоставьте текст на чувашском языке для выполнения перевода."
Йӗп вӑрри тата подёнка – ҫунаттисене каялла хуҫлатайман пӗртен-пӗр хурт-кӑпшанкӑсем.,"Стрекозы и поденки являются единственными насекомыми, которые не могут складывать крылья назад.","Йӗп вӑрри и поденки – единственные насекомые, которые не могут складывать свои крылья назад.","Подёнка – единственные насекомые, которые не могут складывать крылья назад.","Подёнки – единственные насекомые, которые не могут складывать крылья назад.","Веснянка и подёнка – единственные насекомые, не способные складывать крылья назад.","Подёнка – единственные насекомые, которые не могут складывать крылья назад.","Стрекозы и подёнки – единственные насекомые, которые не могут сложить свои крылья назад.",Крыша дома и чердак – это единственные надежные укрытия от дождя и непогоды.,"Поденки и обычные подёнки – единственные насекомые, которые не складывают крылья назад.","Шелкопряды и поденки – некоторые насекомые, которые не оставляют своих детенышей рано.","Кончик иглы и подёнка - единственные насекомые, которые не могут складывать крылья назад.","Стрекоза и подёнка – единственные насекомые, которые не могут складывать крылья назад."
Пин-пин ҫул каялла Аристарх ятлӑ ҫын Хӗвел тытӑмӗ Хӗвел тавра ҫаврӑнни ҫинчен каланӑ.,"Тысячи лет назад человек по имени Аристарх сказал, что Солнечная система вращается вокруг Солнца.","Тысячу лет назад человек по имени Аристарх говорил о системе, вращающейся вокруг Солнца.","Миллионы лет назад человек по имени Аристарх говорил о Солнечной системе, вращающейся вокруг Солнца.","Давным-давно человек по имени Аристарх заявил о том, что Солнечная система вращается вокруг Солнца.","Миллионы лет назад человек по имени Аристарх заявил о гелиоцентрической системе, в которой планеты вращаются вокруг Солнца.","Тысячи лет назад человек по имени Аристарх заявил о том, что Солнечная система вращается вокруг Солнца.",Тысячи лет назад человек по имени Аристарх говорил о вращении Солнечной системы вокруг Солнца.,"Около 2300 лет назад Аристарх, известный ученый, говорил о вращении Солнечной системы вокруг Солнца.","Давным-давно человек по имени Аристарх говорил о том, что Солнечная система вращается вокруг Солнца.",Много лет назад человек по имени Аристарх говорил о вращении солнечной системы вокруг Солнца.,Много тысяч лет назад человек по имени Аристарх рассказал о Солнечной системе и вращении Солнца.,"Тысячи лет назад человек по имени Аристарх говорил о том, что Солнечная система вращается вокруг Солнца."
"Нумайӑшӗ вӑл тӗрӗс калать тесе шухӑшланӑ, хирӗҫле шухӑша ӗнекен те нумай пулнӑ, Хӗвел тытӑмӗ Хӗвелпе (тата ытти ҫӑлтӑрпа) пӗрле Ҫӗр тавра ҫаврӑнать тенӗ.","Многие считали, что он прав, но многие верили в противоположное: что Солнечная система вращается вокруг Земли, включая Солнце (и даже другие звезды).","Большинство думало, что он говорит правильно, но было и много тех, кто порождал противоположные мысли, [говорили], что Солнечная система вместе с Солнцем (и другими звёздами) вращается вокруг Земли.","Большинство считало, что он говорит правду, но было и много приверженцев противоположного мнения, которые утверждали, что Солнечная система вместе с Солнцем (и другими звёздами) вращается вокруг Земли.","Большинство считало, что он говорит правду, хотя многие также придерживались противоположного мнения, что Солнечная система вместе с Солнцем (и другими звёздами) вращается вокруг Земли.","Большинство считало, что он говорит правильно, хотя было и много придерживающихся противоположного мнения, что Солнечная система вращается вокруг Солнца (и других звёзд) вместе с Землёй.","Большинство считало, что он говорит правду, хотя многие также придерживались противоположного мнения, утверждая, что Солнечная система вместе с Солнцем (и другими звёздами) вращается вокруг Земли.","Многие думали, что он прав, и было много тех, кто не соглашался, говоря, что Солнечная система вращается вокруг Земли вместе с Солнцем (и другими звездами).","Многие думали, что он говорит правду, и было много тех, кто разделял это мнение: он утверждал, что Земля вращается вокруг Солнца (и других звёзд) вместе с Солнечной системой.","Многие думали, что он говорит правду, и было много любопытных умов, стремящихся понять, что Солнечная система вращается вокруг Земли вместе с Солнцем (и другими звездами).","Большинство считало, что он говорит правильно, хотя было немало и тех, кто думал противоположное - что Солнечная система вместе с Солнцем (и другими звёздами) вращается вокруг Земли.","Многие считали, что он говорит правду, но было немало и тех, кто придерживался противоположного мнения, согласно которому Солнечная система вместе с Солнцем (и другими звёздами) вращается вокруг Земли.","Многие думали, что он прав, но было и много тех, кто верил в обратное и утверждал, что Солнечная система вместе с Солнцем (и другими звёздами) вращается вокруг Земли."
"Ку ӑслӑ шухӑш пек туйӑнать, мӗншӗн тесен эпир Ҫӗр хускалнине туймастпӑр, ҫапла-и?","Это кажется разумной идеей, потому что мы не чувствуем, что Земля движется, не так ли?","Это кажется умной мыслью, потому что мы не чувствуем движения Земли, не так ли?","Эта умная мысль ощущается как землетрясение, потому что мы не чувствуем землетрясения, не так ли?","Эта умная мысль ощущается как нечто неощутимое, потому что мы не ощущаем движения Земли, не так ли?","Эта глубокая мысль кажется верной, ведь мы не ощущаем вращение Земли, не так ли?","Эта умная мысль кажется верной, ведь мы не чувствуем вращение Земли, не так ли?","Это кажется умной мыслью, потому что мы не чувствуем землетрясений, не так ли?","Кажется, это интересный вопрос, потому что мы, кажется, не согласны с тем, что Землю нужно завоевывать, верно?","Это ощущается как великая мысль, потому что мы не чувствуем движения Земли, не так ли?","Это кажется важной мыслью, потому что мы не чувствуем движения Земли, не так ли?","Это кажется умной мыслью, потому что мы не чувствуем движения Земли, разве не так?","Это кажется разумной мыслью, потому что мы не чувствуем движения Земли, не так ли?"
"Амазонка юхан шывӗ Ҫӗр ҫинче вӑрӑмӑшӗпе – иккӗмӗш, пысӑкӑшӗпе – пӗрремӗш вырӑнта. Пысӑкӑшӗпе иккӗмӗш юхан шывран вӑл 8 хут ытларах шыв илсе ҫӳрет.","Река Амазонка является второй по длине и первой по величине рекой на Земле. Она несёт более чем в 8 раз больше воды, по сравнению со второй по величине рекой.","Река Амазонка на Земле по длине – вторая, по полноводности – первая. Она несет воды более чем в 8 раз больше, чем вторая по полноводности река.","Река Амазонка на Земле по длине занимает второе место, а по объёму – первое. По объёму от второй реки она несёт в 8 раз больше воды.","Река Амазонка на Земле по длине занимает второе место, а по объёму – первое. По объёму она переносит более чем в 8 раз больше воды, чем вторая по величине река.",Река Амазонка занимает второе место на Земле по длине и первое – по величине. По объёму воды она более чем в 8 раз превосходит вторую по величине реку.,"Река Амазонка на Земле занимает второе место по длине и первое – по величине. По объёму воды она переносит более чем в 8 раз больше воды, чем вторая по величине река.","Река Амазонка занимает второе место на Земле по протяжённости и первое по величине. По величине она несёт в 8 раз больше воды, чем вторая по величине река.","Амазонка по объему воды занимает второе место на Земле – по ширине – второе, по площади бассейна – первое. По объему воды она превосходит второй по величине реку в 8 раз.","Амазонка по своей извилистости занимает второе место в мире, а по объему воды – первое. Она несет в себе в 8 раз больше воды, чем вторая по величине река.","Река Амазонка на Земле по длине занимает второе место, а по полноводности – первое место. По полноводности она переносит в 8 раз больше воды, чем вторая по величине река.","Река Амазонка на Земле занимает второе место по длине и первое по полноводности. По объему воды она несет в 8 раз больше, чем вторая по величине река.","Река Амазонка на Земле по длине – вторая, а по полноводности – на первом месте. Она несёт в 8 раз больше воды, чем вторая по полноводности река."
"Ҫавӑн пекех Амазонка Ҫӗр ҫинчи чи сарлака юхан шыв та, унӑн сарлакӑшӗ хӑш чухне ултӑ мильӑна ҫитет.","Амазонка также является самой широкой рекой на Земле, ширина которой иногда составляет шесть миль.","Также Амазонка — самая широкая река на Земле, её ширина иногда достигает шести миль.","Также Амазонка является самой широкой рекой на Земле, и её ширина иногда достигает шести миль.","Кроме того, Амазонка является самой широкой рекой на Земле, и её ширина в некоторых местах достигает шести миль.","Также Амазонка является самой широкой рекой на Земле, и её ширина иногда достигает шести миль.","Кроме того, Амазонка является самой широкой рекой на Земле, и её ширина иногда достигает шести миль.","Кроме того, Амазонка — самая широкая река на Земле, ширина которой иногда достигает шести миль.","Также Амазонка является самой полноводной рекой на Земле, и ее полноводность иногда достигает шести миль.","Также Амазонка – самая широкая река на Земле, её ширина иногда достигает шести миль.","Таким же образом Амазонка является самой большой рекой на Земле, её длина достигает нескольких тысяч миль.","Также Амазонка является самой широкой рекой на Земле, и её ширина иногда достигает шести миль.","Также Амазонка — самая широкая река на Земле, её ширина иногда достигает шести миль."
Пирӗн планетӑн юхан шывӗсенчен океана юхса кӗрекен шывӑн 20 проценчӗ шӑпах Амазонкӑран пырса кӗрет.,"Целые 20 процентов воды, поступаемой из рек нашей планеты в океаны, текут из Амазонки.","20 процентов воды, впадающей из рек нашей планеты в океан, поступает именно из Амазонки.","Ровно 20 процентов речной воды нашей планеты, впадающей в океан, поступает именно из Амазонки.","Ровно 20 процентов речной воды нашей планеты, стекающей в океан, поступает именно из Амазонки.","Ровно 20 процентов воды рек нашей планеты, впадающих в океан, поступает именно от Амазонки.","Ровно 20 процентов речной воды нашей планеты, впадающей в океан, поступает именно от Амазонки.","20 процентов воды, поступающей в океан из рек нашей планеты, приходится именно на Амазонку.","Двадцать процентов воды, впадающей в океан от рек нашей планеты, впадает именно через Амазонку.","Около 20 процентов воды, впадающей в океан от общей массы пресной воды на нашей планете, поступает именно из Амазонки.","Целых 20 процентов воды, впадающей в океан из больших рек нашей планеты, поступает из Амазонки.","20 процентов воды, стекающей в океан с рек нашей планеты, приходится именно на Амазонку.","20 процентов воды, поступающей в океан из рек нашей планеты, приходится именно на Амазонку."
Амазонкӑн тӗп юхан шывӗ 6387 км (390 миля). Унта пин-пин пӗчӗк юхан шыв юхса кӗреҫҫӗ.,Главная река Амазонки имеет длину 6387 км (3980 миль). В неё впадают тысячи небольших рек.,Главная река Амазонки составляет 6387 км (390 миль). Туда впадают тысячи мелких рек.,Главная река Амазонки составляет 6387 км (390 миль). Туда впадают тысячи и тысячи маленьких рек.,Главная река Амазонки имеет длину 6387 км (390 миль). В неё впадают тысячи малых рек.,Главная река Амазонки имеет длину 6387 км (390 миль). В неё впадают тысячи маленьких рек.,Главная река Амазонки имеет длину 6387 км (390 миль). В неё впадают тысячи и тысячи мелких рек.,Главная река Амазонки имеет длину 6387 км (390 миль). В неё впадает множество мелких рек.,Основная река Амазонки имеет длину 6387 км (390 миль). В неё впадают тысячи небольших рек.,Главная река Амазонки имеет длину 6387 км (390 миль). В неё впадает множество мелких рек.,Главная река Амазонки составляет 6387 км (390 миль). В неё впадают тысячи притоков.,Главная река Амазонки составляет 6387 км (390 мили). В неё впадают тысячи мелких рек.,Протяжённость основного русла Амазонки составляет 6387 км (390 миль). В неё впадают тысячи небольших рек.
Чулран пирамида тӑвасси Авалхи патшалӑх вӗҫленичченех тӑсӑлнӑ пулин те Гизӑри пирамидӑсен пысӑкӑшенчен тата техникин мӑнаҫлӑхӗнчен ирттерме май килмен.,"Несмотря на то, что строительство пирамид из камня продолжалось до конца Древнего царства, размер и техническое совершенство пирамид в Гизе так и не удалось превзойти.","Хотя строительство пирамид из камня продолжалось еще до окончания Древнего царства, превзойти величие и великолепие техники пирамид Гизы оказалось невозможным.","Хотя строительство пирамиды в Медуме продолжалось до самого конца Древнего царства, её не удалось превзойти ни по размерам, ни по техническому совершенству пирамид в Гизе.","Хотя строительство каменных пирамид продолжалось и после окончания Древнего царства, они не могли превзойти пирамиды Гизы ни по размерам, ни по техническому совершенству.","Хотя строительство каменных пирамид продолжалось до конца Древнего царства, оно не могло превзойти пирамиды в Гизе по величине и техническому совершенству.","Хотя строительство каменных пирамид продолжалось до конца Древнего царства, оно не могло превзойти пирамиды Гизы ни по размерам, ни по техническому совершенству.","Несмотря на то, что строительство пирамид из камня продолжалось и после окончания Древнего царства, превзойти пирамиды Гизы по размерам и техническому совершенству не удалось.","Строительство чувашской пирамиды было известно задолго до становления древних государств, но не уступает величием и техническим совершенством пирамидам Гизы.","Возведение Чулранской пирамиды, хотя и датируется временем до падения древних цивилизаций, не идет ни в какое сравнение с размерами и технической сложностью пирамид в Гизе.","Строительство каменных пирамид, даже завершённое в период Древнего царства, не смогло превзойти пирамиды Гизы по размерам и техническому значению.","Хотя строительство каменных пирамид продолжалось вплоть до окончания эпохи Древнего царства, им так и не удалось превзойти гизские пирамиды ни по размерам, ни по техническому величию.","Хотя строительство каменных пирамид продолжалось вплоть до конца Древнего царства, превзойти пирамиды Гизы по размеру и техническому великолепию не удалось."
